"","taxon","fraction.dark","number.total","number.dark","number.known"
"1","Apicomplexa",0.900469759248385,6812,6134,678
"2","Ciliophora",0.523901310717039,2594,1359,1235
"3","Alveolata",0.8353,10000,8353,1647
"4","Arcellinida",0.130952380952381,84,11,73
"5","Dictyostelia",0.352601156069364,173,61,112
"6","Myxogastria",0.240825688073394,436,105,331
"7","Glaucophyta",0.263157894736842,19,5,14
"8","Rhodophyceae",0.56980056980057,6318,3600,2718
"9","Euglenozoa",0.674834437086093,1510,1019,491
"10","Fornicata",0.758064516129032,124,94,30
"11","Heterolobosea",0.78705636743215,479,377,102
"12","Jakobida",0.153846153846154,13,2,11
"13","Parabasalia",0.608888888888889,450,274,176
"14","Choanomonada",0.222222222222222,81,18,63
"15","Mesomycetozoa",0.767441860465116,129,99,30
"16","Apusomonadida",0.541666666666667,24,13,11
"17","Centroheliozoa",0.596491228070175,57,34,23
"18","Cryptophyceae",0.725752508361204,299,217,82
"19","Haptophyta",0.732283464566929,508,372,136
"20","Acantharia",0.438356164383562,73,32,41
"21","Cercozoa",0.665813060179257,781,520,261
"22","Foraminifera",0.746104491292392,1091,814,277
"23","Haplosporidia",0.528301886792453,53,28,25
"24","Polycystinea",0.284313725490196,102,29,73
"25","Actinophryidae",0,3,0,3
"26","Bacillariophyta",0.570793180133432,2698,1540,1158
"27","Bicosoecida",0.792207792207792,77,61,16
"28","Chrysophyceae",0.609375,320,195,125
"29","Eustigmatophyceae",0.849462365591398,186,158,28
"30","Labyrinthulomycetes",0.874203821656051,628,549,79
"31","Opalinata",0.636363636363636,11,7,4
"32","Pelagophyceae",0.794520547945205,73,58,15
"33","Phaeophyceae",0.491792929292929,1584,779,805
"34","Phaeothamniophyceae",0.333333333333333,9,3,6
"35","Pinguiophyceae",0.615384615384615,13,8,5
"36","Raphidophyceae",0.44,25,11,14
"37","Synurophyceae",0.365853658536585,123,45,78
"38","Xanthophyceae",0.526041666666667,192,101,91
"39","Porifera",0.571532846715328,2740,1566,1174
"40","Anthozoa",0.568171242438343,4298,2442,1856
"41","Myxozoa",0.316647264260768,859,272,587
"42","Bryophytes",0.101780779858766,6514,663,5851
"43","Lycopodiopsida",0.0833333333333333,552,46,506
"44","Polypodiopsida",0.0802158942862461,5373,431,4942
"45","Amborellales",0,1,0,1
"46","Austrobaileyales",0.09375,64,6,58
"47","Monocots",0.1723,10000,1723,8277
